,Region,Area,Timely sown,Seed,Grain appearance,Hectolitre weight,Protein content,Sedimentation value,Phenol test,Fe content,Zn content,cluster
55,North West Plains Zone (NWPZ),Durgapura,Irrigated Timely Sown,HD2967 (C),4.6,71.8,14.0,55.0,7.0,33.7,36.8,0
56,North West Plains Zone (NWPZ),Durgapura,Irrigated Timely Sown,HD3086 (C),7.0,81.6,11.6,47.7,6.5,38.2,31.7,0
57,North West Plains Zone (NWPZ),Durgapura,Irrigated Timely Sown,HD3349,5.4,76.4,12.7,51.5,7.0,33.0,25.6,0
58,North West Plains Zone (NWPZ),Durgapura,Irrigated Timely Sown,PBW876B,5.8,80.7,11.9,52.3,6.0,33.5,25.0,0
59,North West Plains Zone (NWPZ),Durgapura,Irrigated Timely Sown,HD3406M,5.2,71.4,13.9,56.5,6.5,34.9,32.2,0
60,North West Plains Zone (NWPZ),Durgapura,Irrigated Timely Sown,DBW313#,6.2,81.1,12.7,53.8,6.0,38.0,35.0,0
61,North West Plains Zone (NWPZ),Durgapura,Irrigated Timely Sown,PBW826,6.0,76.0,12.4,53.4,7.0,32.3,34.4,0
62,North West Plains Zone (NWPZ),Durgapura,Irrigated Timely Sown,RAJ4548#,6.6,80.6,11.9,56.1,7.0,33.3,32.7,0
63,North West Plains Zone (NWPZ),Durgapura,Irrigated Timely Sown,HD3354,6.2,81.4,12.7,48.4,4.0,33.4,33.7,0
64,North West Plains Zone (NWPZ),Durgapura,Irrigated Timely Sown,WH1283,6.8,82.2,12.0,49.2,7.0,32.1,32.4,0
65,North West Plains Zone (NWPZ),Ludhiana,Irrigated Late Sown,JKW261*,5.2,77.1,11.5,55.4,7.5,38.4,32.2,0
66,North West Plains Zone (NWPZ),Ludhiana,Irrigated Late Sown,WH1124 (C),5.4,78.3,12.5,53.4,7.0,47.8,35.3,0
67,North West Plains Zone (NWPZ),Ludhiana,Irrigated Late Sown,PBW771 (C),5.2,79.1,12.7,51.5,6.0,37.4,24.9,0
68,North West Plains Zone (NWPZ),Ludhiana,Irrigated Late Sown,HD3059 (C),5.0,77.0,12.8,37.3,8.0,40.9,31.3,0
69,North West Plains Zone (NWPZ),Ludhiana,Irrigated Late Sown,DBW173 (C),5.4,78.2,12.7,45.7,7.0,34.3,26.1,0
70,North West Plains Zone (NWPZ),Ludhiana,Irrigated Late Sown,PBW834,5.2,78.6,13.0,43.8,7.0,37.6,35.7,0
