,Region,Area,Timely sown,Seed,Grain appearance,Hectolitre weight,Protein content,Sedimentation value,Phenol test,Fe content,Zn content,cluster
84,Central Zone (CZ),Vijapur,Restricted Irrigated Timely Sown,NIAW3851,6.4,76.9,12.3,51.5,8.0,36.7,39.0,1
85,Central Zone (CZ),Vijapur,Restricted Irrigated Timely Sown,CG1036,6.2,81.6,13.0,50.4,4.0,36.8,42.3,1
86,Central Zone (CZ),Vijapur,Restricted Irrigated Timely Sown,HI1655,5.6,77.0,12.8,45.7,7.0,32.0,35.4,1
87,Central Zone (CZ),Vijapur,Restricted Irrigated Timely Sown,HI8823(d)*,6.0,81.1,15.5,36.1,0.0,36.5,40.0,1
88,Central Zone (CZ),Vijapur,Restricted Irrigated Timely Sown,DDW47(d) (C),5.8,78.2,14.4,38.4,0.0,37.9,46.6,0
89,Central Zone (CZ),Vijapur,Restricted Irrigated Timely Sown,HI8627(d) (C),6.0,76.9,16.0,31.5,0.0,33.1,45.3,0
90,Central Zone (CZ),Vijapur,Restricted Irrigated Timely Sown,UAS475(d),5.8,75.9,15.3,40.0,0.0,34.5,39.1,1
91,Central Zone (CZ),Vijapur,Restricted Irrigated Timely Sown,HI8830(d),6.2,79.4,13.8,31.9,0.0,33.0,39.4,1
92,Central Zone (CZ),Vijapur,Restricted Irrigated Timely Sown,DDW55(d),7.2,83.1,13.9,36.1,0.0,33.6,45.1,0
93,Central Zone (CZ),Junagarh,Restricted Irrigated Timely Sown,DBW110 (C),7.4,83.0,14.4,50.0,7.0,46.7,59.8,0
94,Central Zone (CZ),Junagarh,Restricted Irrigated Timely Sown,MP3288 (C),7.6,82.7,13.9,41.9,7.5,44.0,53.0,0
95,Central Zone (CZ),Junagarh,Restricted Irrigated Timely Sown,GW528,7.6,83.3,15.2,45.7,7.0,44.2,61.0,0
96,Central Zone (CZ),Junagarh,Restricted Irrigated Timely Sown,DBW326,7.6,82.8,13.0,42.7,7.5,38.0,51.2,0
97,Central Zone (CZ),Junagarh,Restricted Irrigated Timely Sown,NIAW3851,7.6,82.4,13.4,45.7,7.0,43.2,53.8,0
98,Central Zone (CZ),Junagarh,Restricted Irrigated Timely Sown,CG1036,7.6,84.8,13.3,38.0,4.0,41.7,51.8,0
99,Central Zone (CZ),Junagarh,Restricted Irrigated Timely Sown,HI1655,7.6,81.3,13.2,38.8,7.0,45.1,59.5,0
100,Central Zone (CZ),Junagarh,Restricted Irrigated Timely Sown,HI8823(d)*,7.8,84.2,13.1,34.2,0.0,40.1,53.3,0
101,Central Zone (CZ),Junagarh,Restricted Irrigated Timely Sown,DDW47(d) (C),7.0,81.4,12.9,28.8,0.0,42.3,57.9,0
