,Region,Area,Timely sown,Seed,Grain appearance,Hectolitre weight,Protein content,Sedimentation value,Phenol test,Fe content,Zn content,cluster
102,North East Plains Zone (NEPZ),Pusa,Restricted Irrigated Timely Sown,K1317 (C),5.6,82.6,10.9,48.4,2.0,31.8,35.9,0
103,North East Plains Zone (NEPZ),Pusa,Restricted Irrigated Timely Sown,HI1653,5.6,79.3,12.6,67.7,6.0,35.8,36.5,0
104,North East Plains Zone (NEPZ),Pusa,Restricted Irrigated Timely Sown,DBW322,5.8,78.5,12.3,60.0,6.0,41.2,40.8,0
105,North East Plains Zone (NEPZ),Pusa,Restricted Irrigated Timely Sown,DBW321,5.4,78.9,11.6,55.0,6.0,35.4,38.7,0
106,North East Plains Zone (NEPZ),Pusa,Restricted Irrigated Timely Sown,HD3368#,5.4,79.4,11.7,58.8,7.0,30.4,30.9,0
107,North East Plains Zone (NEPZ),Pusa,Restricted Irrigated Timely Sown,HI1654,5.2,80.6,10.4,57.3,6.0,30.8,33.3,0
108,North East Plains Zone (NEPZ),Pusa,Restricted Irrigated Timely Sown,WH1281,4.8,77.8,11.4,58.4,6.5,29.9,35.8,0
109,North East Plains Zone (NEPZ),Pusa,Restricted Irrigated Timely Sown,PBW848#,4.8,80.1,11.9,55.0,6.0,31.6,39.2,0
110,North East Plains Zone (NEPZ),Pusa,Restricted Irrigated Timely Sown,HD3369#,5.8,81.3,12.4,60.0,6.0,33.8,39.5,0
111,North East Plains Zone (NEPZ),Pusa,Restricted Irrigated Timely Sown,UP3062,5.2,79.8,12.5,46.5,6.0,32.0,41.2,0
112,North East Plains Zone (NEPZ),Sabour,Restricted Irrigated Timely Sown,HI1612 (C),5.8,79.5,8.5,47.7,7.0,29.1,29.5,0
113,North East Plains Zone (NEPZ),Sabour,Restricted Irrigated Timely Sown,DBW252 (C),5.8,79.4,9.4,49.6,6.0,29.4,27.9,0
114,North East Plains Zone (NEPZ),Sabour,Restricted Irrigated Timely Sown,HD3293(I) (C),6.4,76.6,8.6,39.2,7.0,28.8,28.4,0
115,North East Plains Zone (NEPZ),Sabour,Restricted Irrigated Timely Sown,HD3171 (C),5.8,79.0,8.6,49.6,5.5,32.1,29.0,0
116,North East Plains Zone (NEPZ),Sabour,Restricted Irrigated Timely Sown,K1317 (C),6.2,81.3,8.9,42.3,3.0,35.3,34.0,0
117,North East Plains Zone (NEPZ),Sabour,Restricted Irrigated Timely Sown,HI1653,6.2,77.7,8.8,51.1,8.5,28.3,23.3,0
118,North East Plains Zone (NEPZ),Sabour,Restricted Irrigated Timely Sown,DBW322,6.0,79.8,8.6,46.5,8.5,34.8,31.0,0
119,North East Plains Zone (NEPZ),Sabour,Restricted Irrigated Timely Sown,DBW321,5.8,78.5,8.9,47.7,6.5,32.2,28.6,0
120,North East Plains Zone (NEPZ),Sabour,Restricted Irrigated Timely Sown,HD3368#,5.8,78.7,8.7,48.4,7.0,31.1,24.4,0
121,North East Plains Zone (NEPZ),Sabour,Restricted Irrigated Timely Sown,HI1654,5.6,78.5,8.6,43.0,6.5,37.3,31.6,0
122,North East Plains Zone (NEPZ),Sabour,Restricted Irrigated Timely Sown,WH1281,5.8,78.0,8.7,45.7,7.0,31.1,25.9,0
